# path	purpose	owner/source URL	license	version/date	sha256	transformation	redistributable
src/demo/resources/textures/learnopengl/awesomeface.png	Demo texture	LearnOpenGL https://github.com/JoeyDeVries/LearnOpenGL/tree/master/resources/textures	CC-BY-NC-4.0	upstream master / 2026-07-18	5dc155999348fd0bdf8add6ffee11feb853dd2fcf556a97804a38301bd0bdb13	copied without transformation	yes
src/main/resources/shaders/postprocess/gtao-temporal.frag	Runtime shader	Haikalat project	project license	v0.24 repair / 2026-09-08	c7d056bac8c3a56406184722a466fc2e36a2af5a4c53f39c6d2ddbae0daa987e	project source	yes
src/main/resources/shaders/postprocess/gtao-upsample.frag	Runtime shader	Haikalat project	project license	v0.24 repair / 2026-09-08	dd1520d26fe408c7c87b9df2ce148940c68bdee6d76c27bfb370a752b5acad45	project source	yes
src/main/resources/shaders/postprocess/log-luminance.frag	Runtime shader	Haikalat project	project license	v0.14	6d4ae6248f880f5bd1f79abb52f78806b476e8dc1b1f28db340afe4bf7fec40f	project source	yes
src/main/resources/shaders/postprocess/luminance-reduce.frag	Runtime shader	Haikalat project	project license	v0.14	9d968e6244a3d70504018cfb41c24b7c25266a729e08f8a714c40338a8fa9202	project source	yes
src/main/resources/shaders/postprocess/screen-quad.vert	Runtime shader	Haikalat project	project license	v0.14	0c2cd41af8ef899ac48ccbfd88a9a28705236a99b3da3732a00af5279a22a138	project source	yes
src/main/resources/shaders/postprocess/temporal-accumulation.frag	Runtime shader	Haikalat project	project license	v0.14	dca086a16f86575a5d4b64e37b24377b67d9b7b2ed6d316476826e2828286a3b	project source	yes
src/main/resources/shaders/postprocess/volumetric-light.frag	Runtime shader	Haikalat project	project license	Milestone 4 / 2026-07-25	f1ed4a6737787fdac68bb9fb563a221a51bf78728843d890e533da6206f0ccf6	project source	yes
src/main/resources/shaders/render3d/clustered/cluster-stats.comp	Runtime shader	Haikalat project	project license	v0.24.2 / 2026-09-10	0fa9d79bb0c06d9d2f7f2d0c4c7dd52ba4f0da6d882c99272e46941b9fea4636	Header reduction for overflow diagnostics without per-cluster atomics	yes
src/main/resources/shaders/render3d/clustered/cluster-assign.comp	Runtime shader	Haikalat project	project license	v0.24.2 / 2026-09-10	e9582e87a63a80c22c0b8c2404c2bcdc1c6fe0d3752f94472c6793f20e1ea6c7	Deterministic inline cluster light lists, four clusters per workgroup with overflow headers	yes
src/main/resources/shaders/render3d/clustered/cluster-bounds.comp	Runtime shader	Haikalat project	project license	v0.24.2 / 2026-09-10	127efde867806540c416bb13149172d43a99ca201f3cf9df77c207a7ecd95540	View-space cluster AABBs with conservative jitter edge expansion	yes
src/main/resources/shaders/render3d/pbr/brdf-lut.comp	Runtime shader	Haikalat project	project license	v0.14	d8d6dc155d6b2737064a291c5419f299f975d63ba5d313bc369c7f1b10a36ba6	project source	yes
src/main/resources/shaders/render3d/pbr/environment-background.frag	Runtime shader	Haikalat project	project license	v0.14	474460126fe4ea8e8d0aaceedef8762efb13ae06e336c1d2c24775b2103901a1	project source	yes
src/main/resources/shaders/render3d/pbr/environment-background.vert	Runtime shader	Haikalat project	project license	v0.14	a2fa8856dd4ac06134cb85fa6817dab88ad70ac4d8d3743d5e874e5b319c948a	project source	yes
src/main/resources/shaders/render3d/pbr/equirect-to-cube.comp	Runtime shader	Haikalat project	project license	v0.14	e2fa17741618d6d65e89ea0c050a3fc2f130806788fea0c1a34fcb6a935c64eb	project source	yes
src/main/resources/shaders/render3d/pbr/irradiance.comp	Runtime shader	Haikalat project	project license	v0.14	5db1d09094ed163e3a4068fa7d17130d7d03ce4064c884e70a505c00c0a49190	project source	yes
src/main/resources/shaders/render3d/pbr/pbr-forward.frag	Runtime shader	Haikalat project	project license	v0.24.2 clustered / 2026-09-10	058b7866d8095858e7ce2fb4316a3c0a77457028dc6130a3af53095b1929943a	Unified clustered-forward PBR with light-table SSBO, unified shadow identity and cluster debug modes	yes
src/main/resources/shaders/render3d/pbr/pbr-forward.vert	Runtime shader	Haikalat project	project license	v0.23 / 2026-08-18	c7428edf51f190b0bd3207c67cbec6185e6f39124cc12737ceef4c51f9773377	project source with Morph-before-skin and CSM outputs	yes
src/main/resources/shaders/render3d/pbr/prefilter.comp	Runtime shader	Haikalat project	project license	v0.14	f41c79d6417db1827a5b51ae679a2932bbe1b15217964a802febef6f411236ef	project source	yes
src/main/resources/shaders/render3d/gtao/gtao-depth.frag	Runtime shader	Haikalat project	project license	v0.23.2 / 2026-08-19	ba3e07c0fd02de4d58e9a9c64e787b31c1916b32a8941e7d71d613b0eb582bc9	project source	yes
src/main/resources/shaders/render3d/gtao/gtao-depth.vert	Runtime shader	Haikalat project	project license	v0.23.2 / 2026-08-19	a43abfc4ae2b7510bf5711353240ab037bcf65341ee2ca8bd8e5cfc449882082	project source	yes
src/main/resources/shaders/render3d/gtao/gtao-instanced-depth.vert	Runtime shader	Haikalat project	project license	v0.23.2 / 2026-08-19	fe3cc91e8f6f3b0c3b7d8823f0b1b31aaf849a807321c5dd3251389970c5b469	project source	yes
src/main/resources/shaders/render3d/gtao/gtao-masked-depth.frag	Runtime shader	Haikalat project	project license	v0.23.2 / 2026-08-19	3b4b55200810165ce1f8bc3ea50ec739b87bc9b2beb736898cfb11c020c2372f	project source	yes
src/main/resources/shaders/render3d/gtao/gtao-masked-depth.vert	Runtime shader	Haikalat project	project license	v0.23.2 / 2026-08-19	895db6ad635abe160c8c670fac8123fa66a75bd6f277f295e7af766b05befb16	project source	yes
src/main/resources/shaders/render3d/preview/preview.frag	Runtime shader	Haikalat project	project license	v0.17.1	41499ecf01c77ddfdb3874e37be26ced64a25a899b7bbab7989350effbf58c8f	project source	yes
src/main/resources/shaders/render3d/preview/preview.vert	Runtime shader	Haikalat project	project license	v0.17.1	6b5df82040888060f340726a05d9419bb2e29ad3f44fe3f10bd5633c3f607abd	project source	yes
src/main/resources/shaders/render3d/vfx/gpu-particle.comp	Runtime shader	Haikalat project	project license	Milestone 4 / 2026-07-25	debcb7cca263e69b96cb9b1d8ee5e532b4d965b6a9d724b148d97f1390b55c8b	project source	yes
src/main/resources/shaders/render3d/vfx/gpu-particle.frag	Runtime shader	Haikalat project	project license	Milestone 4 / 2026-07-25	45406ea37e7b48a6bfb178b63db8a8adfeb7a34cabc5ea85fd6e8da31a19731e	project source	yes
src/main/resources/shaders/render3d/vfx/gpu-particle.geom	Runtime shader	Haikalat project	project license	Milestone 4 / 2026-07-25	e3e03e204a41c30d4efa1a0991c97b4176e50f8b9cbe528cef5159bdc5b23adf	project source	yes
src/main/resources/shaders/render3d/vfx/gpu-particle.vert	Runtime shader	Haikalat project	project license	Milestone 4 / 2026-07-25	28ce36c372885c923a9317c3cc74fe9da86cdabde4ef8dad8f25327c52450e64	project source	yes
src/main/resources/shaders/render3d/vfx/vfx.frag	Runtime shader	Haikalat project	project license	v0.18.2 / 2026-07-26	cbb4f7e2c6d508d6997d4cf5fcd2303fbb4e6958c98b4654bf2c4ee66a317098	project source	yes
src/main/resources/shaders/render3d/vfx/vfx.vert	Runtime shader	Haikalat project	project license	v0.18.2 / 2026-07-26	b28e1b94c0fe66abf2a8683219e170952709d98cd9aefe93d204c19f29ee4ef2	project source	yes
src/main/resources/shaders/shadows/directional-depth.frag	Runtime shader	Haikalat project	project license	v0.14	dda6e324c1f5d0d527eff418ea8089e63859237a9169c9425d73e6ae449e3384	project source	yes
src/main/resources/shaders/shadows/directional-depth.vert	Runtime shader	Haikalat project	project license	v0.18.3 / 2026-07-27	2b6ec09928ad6cc7dbd33800e08f6321d3c5136b221db31f40991e557b32bd7a	project source with Morph-before-skin	yes
src/main/resources/shaders/shadows/instanced-directional-depth.vert	Runtime shader	Haikalat project	project license	v0.14	5c3b3351180b1a200e95b32fba780917ed95e5cdd5f73c50c5e470746c608da8	project source	yes
src/main/resources/shaders/shadows/masked-directional-depth.frag	Runtime shader	Haikalat project	project license	v0.23 / 2026-08-18	36e668f48c308bff06f28b0af799530c5c59153c21954fde1544850acf0efc13	project source with alpha cutoff	yes
src/main/resources/shaders/shadows/masked-directional-depth.vert	Runtime shader	Haikalat project	project license	v0.23 / 2026-08-18	bb5399a3fef096d9b77664363256f26850f8ef624adef466e3763dde8c3f5b30	project source with UV, skin and morph inputs	yes
src/main/resources/text/fonts/FONT-MANIFEST.md	Font provenance notice	Haikalat project	project license	v0.19.4	c46ffe08be97d6892ef1f0b63c77be4192eec254a42dbd2d8aa3de7754e7d167	project documentation	yes
src/main/resources/text/fonts/JetBrainsMono-OFL.txt	JetBrains Mono copyright and license	JetBrains Mono 2.304 distribution	OFL-1.1	2.304	60d55f23c6ce05a81099a762cb67ca2c9b6ea251c7912720998b4c89ebfd4faa	upstream distribution notice with trailing whitespace normalized	yes
src/main/resources/text/fonts/JetBrainsMono-Regular.ttf	Monospace UI font	JetBrains/JetBrainsMono https://github.com/JetBrains/JetBrainsMono	OFL-1.1	2.304	a0bf60ef0f83c5ed4d7a75d45838548b1f6873372dfac88f71804491898d138f	upstream static TTF copied without transformation	yes
src/main/resources/text/fonts/NotoSansSC-VF.ttf	Default Latin/CJK UI font	notofonts/noto-cjk https://github.com/notofonts/noto-cjk/releases/tag/Sans2.004	OFL-1.1	Sans2.004	763146584cf0710223441356b4395e279021b0806c196614377a7a0174ae074a	upstream full variable TTF	yes
src/main/resources/text/fonts/OFL-1.1.txt	Bundled font license	SIL Open Font License	OFL-1.1	1.1	cefed81abcf7781b777eb2cd1cdfaf6bb98f43722a40e38b71ad758ecf5ca1df	verbatim license text	yes
src/main/resources/text/fonts/unifont-17.0.05.otf	Fallback UI font	Unifoundry https://unifoundry.com/unifont/	OFL-1.1	17.0.05	85701ab9b1e251ee16f4df00b13f22eac311d72b7dab427a7d975fe7f5064702	upstream full OTF	yes
src/main/resources/shaders/ui/ui.frag	Runtime shader	Haikalat project	project license	v0.19.4	f7c719d794b92670659e34f5fe731ccef40a20e44a64888deeec130fb199b15d	project source	yes
src/main/resources/shaders/ui/ui.vert	Runtime shader	Haikalat project	project license	v0.14	8b2809137cc7a31576d3482ab621c790269b284c2d3ef4da0e550b8d57c351f2	project source	yes
src/main/resources/shaders/postprocess/outdoor-volumetric-sun.frag	Runtime shader	Haikalat project	project license	v0.24.0 / 2026-09-08	2d63cbe7715418299152e9a5997d3b9bc59f902f442f72f060a900dc8909ecec	project source	yes
src/main/resources/shaders/postprocess/outdoor-volumetric-depth-history.frag	Runtime shader	Haikalat project	project license	v0.24.0 / 2026-09-08	8e9af16f29c5baf29e10254fb6ac86c019d91023aea9f3f1d28f99802f81eb4e	project source	yes
src/main/resources/shaders/postprocess/outdoor-volumetric-temporal.frag	Runtime shader	Haikalat project	project license	v0.24.0 / 2026-09-08	1f859f1bdddd410bb7b5a24396c3fbe4a7d8941cacc9c0cbb33513d3f6f009c1	project source	yes
src/main/resources/shaders/postprocess/outdoor-volumetric-upsample.frag	Runtime shader	Haikalat project	project license	v0.24.0 / 2026-09-08	d078721ab87700d4168e84a0f33025b9f2e01adfcb3190d27c84e21f6e2d73a3	project source	yes
src/main/resources/shaders/render3d/stylized-sky.frag	Runtime shader	Haikalat project	project license	v0.24.0 / 2026-09-08	cfde54335a218ca178d1e73bff97a3de78bc35a463ef53352074ceb50e324b46	project source	yes
src/main/resources/shaders/render3d/pbr/stylized-sky-ibl.comp	Runtime shader	Haikalat project	project license	v0.24.0 / 2026-09-08	b7beb1e3ca6d253518f3b42a3c27dee9b697257dab06c83bb5da9b5e38697907	project source	yes
src/main/resources/shaders/postprocess/scene-surface-resolve.frag	Runtime shader	Haikalat project	project license	v0.24.1 / 2026-09-09	d7ff367dec3cf1ce26c6ec021d89b30d8ac7a11522e4dc616049454ad3fed1b7	project source	yes
src/main/resources/shaders/postprocess/taa-resolve.frag	Runtime shader	Haikalat project	project license	v0.24.1 / 2026-09-09	6202957aa2fafbaa678c863ab3a739e9a1e45d50b9abff2f43f8af586bc363c9	project source	yes
src/main/resources/shaders/render3d/surface/scene-reactive.frag	Runtime shader	Haikalat project	project license	v0.24.1 / 2026-09-09	b9fccce8f0fd2eae8af4667d58f842bf5361a698078263d6ef06d14b2b8cc534	project source	yes
src/main/resources/shaders/render3d/surface/scene-surface-instanced.vert	Runtime shader	Haikalat project	project license	v0.24.1 / 2026-09-09	5c1873fbd2d8742fc58d6807ae8caa852f073622feb256cb5d5e037aa41aa6e2	project source	yes
src/main/resources/shaders/render3d/surface/scene-surface.frag	Runtime shader	Haikalat project	project license	v0.24.1 / 2026-09-09	ee3edae9bb3276e1d2120f0526aba168a2ab74a7cbc0d1d8272f57dc77386ef6	project source	yes
src/main/resources/shaders/render3d/surface/scene-surface.vert	Runtime shader	Haikalat project	project license	v0.24.1 / 2026-09-09	5349cc4c300108ec5e9c63f5ebbc8ff11bebf026cf13645cc1c8b05f80640d98	project source	yes
